,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
1771,1,3,10,20,0.5814453125,"(0.5652230385918712, 0.4769397917694821, 0.6071586439055819, 0.5652230385918712)",0.3-0.7
1772,1,3,10,30,0.5857421875,"(0.5754374285267555, 0.488826726790579, 0.6152629329854237, 0.5754374285267555)",0.3-0.7
1773,1,3,10,40,0.5931640625,"(0.5791215390472665, 0.4912220382634813, 0.6187581986130645, 0.5791215390472665)",0.3-0.7
1774,1,3,10,50,0.59609375,"(0.5837265369683635, 0.49611523680801967, 0.6245231164017457, 0.5837265369683635)",0.3-0.7
1775,1,3,10,60,0.597265625,"(0.5833081621305916, 0.49687946967352925, 0.6220438085446196, 0.5833081621305916)",0.3-0.7
1776,1,3,10,70,0.597265625,"(0.5841448066339792, 0.4988004559716758, 0.6233298394313331, 0.5841448066339792)",0.3-0.7
1777,1,3,10,80,0.59453125,"(0.5843960278580008, 0.4986799909470136, 0.6242544454233934, 0.5843960278580008)",0.3-0.7
1778,1,3,10,90,0.596875,"(0.5848147182122416, 0.4985090785616603, 0.6251198167314758, 0.5848147182122416)",0.3-0.7
1779,1,3,10,100,0.5962890625,"(0.58581935770663, 0.4994516177137104, 0.6255299497218374, 0.58581935770663)",0.3-0.7
1780,1,3,1000,10,0.6787109375,"(0.6458492406219742, 0.5265607659364402, 0.6532053141870572, 0.6458492406219742)",0.3-0.7
1781,1,3,1000,20,0.705859375,"(0.6759889162570211, 0.5581148197120641, 0.6868868170119897, 0.6759889162570211)",0.3-0.7
1782,1,3,1000,30,0.716015625,"(0.686202850445895, 0.5708314835685836, 0.6981730899951468, 0.686202850445895)",0.3-0.7
1783,1,3,1000,40,0.725,"(0.6920632182820058, 0.5720035870978116, 0.7032759695942558, 0.6920632182820058)",0.3-0.7
1784,1,3,1000,50,0.72421875,"(0.6988450694942552, 0.5781662262010931, 0.7109597899304217, 0.6988450694942552)",0.3-0.7
1785,1,3,1000,60,0.7255859375,"(0.7004361839895725, 0.5812108747781759, 0.7122024541662577, 0.7004361839895725)",0.3-0.7
1786,1,3,1000,70,0.7318359375,"(0.7004362891617288, 0.5797287472368633, 0.7129307113475973, 0.7004362891617288)",0.3-0.7
1787,1,3,1000,80,0.731640625,"(0.7021943469264841, 0.5835049522003475, 0.7151122579750656, 0.7021943469264841)",0.3-0.7
1788,1,3,1000,90,0.73515625,"(0.7028643636769027, 0.5840479906398658, 0.7157562886447296, 0.7028643636769027)",0.3-0.7
1789,1,3,1000,100,0.7369140625,"(0.7047901009161898, 0.5851901918014633, 0.7178107990320636, 0.7047901009161898)",0.3-0.7
1790,1,3,2000,10,0.6787109375,"(0.6458492406219742, 0.5265607659364402, 0.6532053141870572, 0.6458492406219742)",0.3-0.7
1791,1,3,2000,20,0.705859375,"(0.6759889162570211, 0.5581148197120641, 0.6868868170119897, 0.6759889162570211)",0.3-0.7
1792,1,3,2000,30,0.716015625,"(0.686202850445895, 0.5708314835685836, 0.6981730899951468, 0.686202850445895)",0.3-0.7
1793,1,3,2000,40,0.725,"(0.6920632182820058, 0.5720035870978116, 0.7032759695942558, 0.6920632182820058)",0.3-0.7
1794,1,3,2000,50,0.72421875,"(0.6988450694942552, 0.5781662262010931, 0.7109597899304217, 0.6988450694942552)",0.3-0.7
